;avg_victim;avg_total;avg_surbs;var_total;var_victim;var_surbs
2400;0.0;0.0;0.0;0.0;0.0;0.0
2500;0.0;0.0;0.0;0.0;0.0;0.0
2600;0.0;0.0;0.0;0.0;0.0;0.0
2700;0.0;0.0;0.0;0.0;0.0;0.0
2800;0.0;0.0;0.0;0.0;0.0;0.0
2900;0.0;0.0;0.0;0.0;0.0;0.0
3000;0.0;0.0;0.0;0.0;0.0;0.0
3100;0.0;0.0;0.0;0.0;0.0;0.0
3200;0.0;0.0037349397590361448;0.0;0.003766367910666411;0.0;0.0
3300;0.03;0.08072289156626505;0.0;0.08084337349398667;0.029099999999999984;0.0
3400;0.48;0.5747590361445784;0.0;0.5893429290332047;0.46960000000000074;0.0
3500;2.21;2.2534939759036146;0.0;2.3214205700851434;2.3858999999999986;0.0
3600;4.95;5.798734939759036;0.0;6.05479106303373;4.5874999999999995;0.0
3700;9.89;11.266686746987952;0.0;12.095023034821965;9.357899999999994;0.0
3800;15.13;17.639096385542167;0.0;20.24236746620552;16.833100000000016;0.0
3900;20.37;23.573373493975904;0.0;28.15894091977647;18.193099999999987;0.0
4000;23.64;27.931807228915662;0.0;34.07785401116872;27.090399999999985;0.0
4100;26.26;30.68656626506024;0.0;37.15086611445922;15.812399999999998;0.0
4200;26.96;31.931024096385542;0.0;39.73585503599769;21.83840000000001;0.0
4300;27.48;32.591566265060244;0.0;40.58090361445762;27.56960000000001;0.0
4400;29.32;32.85680722891566;0.0;40.84650187702046;25.27759999999999;0.0
4500;27.87;32.93337349397591;0.0;41.19221409050871;26.793100000000003;0.0
4600;27.62;32.95090361445783;0.0;40.04920649059492;23.455599999999993;0.0
4700;30.86;32.96421686746988;0.0;41.377484440200675;27.560400000000005;0.0
4800;30.79;32.84590361445783;0.0;40.57340374669387;32.90590000000001;0.0
4900;31.17;32.97421686746988;0.0;40.97213200116914;31.261100000000013;0.0
5000;32.33;32.92746987951807;0.0;40.319675227740845;29.701099999999983;0.0
5100;33.16;32.895843373493975;0.0;41.40639714590695;31.6344;0.0
5200;32.3;32.87596385542169;0.0;40.30595180355493;29.91;0.0
5300;33.28;32.87024096385542;0.0;39.91405481927781;28.041600000000006;0.0
5400;32.51;32.848192771084335;0.0;40.83216132823743;34.02989999999999;0.0
5500;33.48;32.94734939759036;0.0;41.10048679106677;24.929600000000004;0.0
5600;33.27;33.00722891566265;0.0;40.741288568910505;38.537099999999995;0.0
5700;33.74;32.83427710843373;0.0;40.15616441007863;29.55239999999997;0.0
5800;33.42;32.93512048192771;0.0;40.82287346091712;34.04359999999999;0.0
5900;33.07;32.92307228915663;0.0;40.82626605568595;30.6851;0.0
6000;33.56;32.86963855421687;0.0;40.22194498971448;32.8064;0.0
6100;33.46;32.92560240963856;0.0;40.30287310828428;30.28840000000001;0.0
6200;32.75;32.869397590361444;0.0;40.563954510725104;32.4475;0.0
6300;33.53;33.0955421686747;0.0;41.10551647076098;32.609100000000005;0.0
6400;33.29;32.85843373493976;0.0;40.2621536144596;35.12590000000001;0.0
6500;32.84;32.900240963855424;0.0;40.7518779900091;41.09440000000002;0.0
6600;32.53;32.870542168674696;0.0;41.17663384880535;23.729099999999995;0.0
6700;32.38;32.91289156626506;0.0;40.467319585660206;31.25559999999999;0.0
6800;33.46;32.89855421686747;0.0;40.86031495739239;35.78839999999999;0.0
6900;32.66;32.929819277108436;0.0;40.100197527915356;34.004400000000004;0.0
7000;33.13;32.92222891566265;0.0;41.078451068909125;30.933100000000003;0.0
7100;32.98;32.93524096385542;0.0;40.12203561195932;32.9796;0.0
