;avg_victim;avg_total;avg_surbs;var_total;var_victim;var_surbs
2600;0.0;0.0;0.0;0.0;0.0;0.0
2700;0.0;0.0;0.0;0.0;0.0;0.0
2800;0.0;0.0;0.0;0.0;0.0;0.0
2900;0.0;0.0;0.0;0.0;0.0;0.0
3000;0.0;0.0;0.0;0.0;0.0;0.0
3100;0.0;0.0;0.0;0.0;0.0;0.0
3200;0.0;0.00062;0.0;0.000620856929460543;0.0;0.0
3300;0.01;0.01342;0.0;0.013486696897398577;0.00989999999999999;0.0
3400;0.01;0.09588;0.0;0.09617017297155732;0.00989999999999999;0.0
3500;0.08;0.37621;0.0;0.3760265550457566;0.0736000000000001;0.0
3600;0.07;0.96747;0.0;0.9752062133259153;0.06510000000000007;0.0
3700;0.23;1.87993;0.0;1.8903998580108352;0.21710000000000026;0.0
3800;0.3;2.94292;0.0;2.9676163281293673;0.3500000000000006;0.0
3900;0.41;3.93314;0.0;3.9645091684772034;0.4819000000000005;0.0
4000;0.51;4.65981;0.0;4.692511958581996;0.5899000000000002;0.0
4100;0.58;5.11965;0.0;5.144792646673636;0.44359999999999983;0.0
4200;0.46;5.32705;0.0;5.378287410618507;0.42840000000000006;0.0
4300;0.64;5.43704;0.0;5.468291216874651;0.5504000000000001;0.0
4400;0.76;5.48279;0.0;5.512808446605689;0.6623999999999997;0.0
4500;1.02;5.49379;0.0;5.511843394125567;1.2796000000000003;0.0
4600;1.39;5.49608;0.0;5.506771280796584;1.7578999999999976;0.0
4700;2.31;5.50061;0.0;5.546876670868307;2.8939;0.0
4800;3.01;5.4802;0.0;5.494644657273918;4.989899999999999;0.0
4900;3.75;5.50114;0.0;5.5191143878777185;4.4475;0.0
5000;4.35;5.49394;0.0;5.542585069813441;5.167500000000001;0.0
5100;4.83;5.48904;0.0;5.491112543367221;5.261099999999999;0.0
5200;4.89;5.48482;0.0;5.467701720609183;5.077899999999997;0.0
5300;5.66;5.48408;0.0;5.489049519192247;4.324399999999999;0.0
5400;5.4;5.47991;0.0;5.510928835963021;5.260000000000002;0.0
5500;5.16;5.49758;0.0;5.560351460665543;4.5944;0.0
5600;5.55;5.50692;0.0;5.521809564842314;6.787500000000005;0.0
5700;5.6;5.47863;0.0;5.496621178782353;5.560000000000001;0.0
5800;5.41;5.49524;0.0;5.459198075895553;7.321900000000002;0.0
5900;5.54;5.49276;0.0;5.4962296292407125;5.1684;0.0
6000;5.83;5.48409;0.0;5.483558746261827;5.5611;0.0
6100;5.41;5.4937;0.0;5.501923417143649;4.941899999999998;0.0
6200;5.22;5.48385;0.0;5.499806179034484;5.851600000000006;0.0
6300;5.52;5.52187;0.0;5.524980616033421;5.1095999999999995;0.0
6400;5.21;5.48258;0.0;5.505729318780166;4.545899999999999;0.0
6500;5.78;5.4885;0.0;5.50034480736589;6.0316;0.0
6600;5.56;5.48348;0.0;5.501060658005195;5.346400000000001;0.0
6700;5.32;5.4906;0.0;5.480646244130473;4.497599999999997;0.0
6800;5.42;5.4892;0.0;5.547426897156772;5.0036000000000005;0.0
6900;5.43;5.49358;0.0;5.497213789965488;5.445100000000001;0.0
7000;5.56;5.49266;0.0;5.483223257038862;6.866400000000003;0.0
7100;5.48;5.49475;0.0;5.488296753442078;5.7296000000000005;0.0
7200;5.57;5.50559;0.0;5.550157545743871;5.2051000000000025;0.0
7300;5.63;5.49031;0.0;5.546054709424417;5.373099999999997;0.0
7400;5.26;5.49307;0.0;5.508475107288979;5.132400000000005;0.0
7500;5.58;5.48692;0.0;5.517237096706197;6.123599999999998;0.0
7600;5.5;5.49735;0.0;5.507787695869901;6.23;0.0
7700;5.4;5.48641;0.0;5.485746109430923;4.68;0.0
7800;5.79;5.48496;0.0;5.508265543280321;7.185899999999998;0.0
7900;5.78;5.48126;0.0;5.494032666552392;7.4116;0.0
8000;5.55;5.50413;0.0;5.510288072190515;5.0074999999999985;0.0
8100;5.28;5.50049;0.0;5.572389147955886;6.6815999999999995;0.0
8200;5.92;5.48757;0.0;5.5048016739433105;5.0336;0.0
8300;6.04;5.49506;0.35;5.51374740681012;5.398400000000002;0.40749999999999986
8400;7.03;5.49944;1.4;5.482240326738583;7.709099999999999;1.0399999999999985
8500;9.34;5.49595;3.79;5.537933999095007;7.704400000000001;3.185899999999998
8600;12.93;5.48925;7.05;5.5189705129622055;9.465100000000003;5.107499999999999
8700;14.33;5.4939;8.61;5.486873599991237;12.5611;6.4379
8800;15.1;5.4892;9.55;5.489531105573767;10.13;7.967499999999998
8900;14.22;5.50357;8.27;5.528074120601548;13.751599999999994;6.257100000000001
9000;10.96;5.50394;5.39;5.557746614104039;10.238399999999999;4.7379
9100;8.53;5.49531;3.12;5.484708989888472;10.449100000000005;3.3456
9200;7.02;5.50009;1.45;5.531351705300538;7.299600000000001;1.4474999999999998
9300;6.14;5.48446;0.63;5.517213634176154;7.100399999999999;0.5331000000000001
9400;6.29;5.49788;0.23;5.529748317744439;6.765900000000003;0.19709999999999994
9500;5.63;5.48911;0.06;5.465161402113061;5.453100000000001;0.0563999999999999
9600;5.5;5.47327;0.02;5.4619928082238935;7.93;0.019599999999999958
9700;5.52;5.48833;0.02;5.49749703898903;4.669599999999999;0.019599999999999958
9800;5.63;5.50426;0.0;5.549724423099336;7.153099999999998;0.0
9900;5.78;5.49241;0.0;5.492761346987121;5.831600000000005;0.0
10000;5.64;5.49037;0.0;5.504852805979207;5.350400000000003;0.0
